,spec.name,Old.name,scientificName,Fuzzy.dist,taxonRank,taxonomicStatus,manual name,manual.auth
648,Acer negundinis,,Acer,11,genus,Accepted,Acer negundo,L.
610,Loti americani,Lotea,Lotus,9,genus,Accepted,Acmispon americanus,Nutt. Rydb.
695,Acori calami,,Acorus,8,genus,Accepted,Acorus calamus,L.
510,Acteae spirata,,Actaea,8,genus,Accepted,Actaea spicata,L.
301,Agropynum repens,,NA,NA,NA,NA,Elymus repens,(L.) Gould
855,Agrophyrum smithii,,NA,NA,NA,NA,Elymus smithii,(Rydb.) Gould
163,Ailanthi glandulosi,,Ailanthus,10,genus,Accepted,Ailanthus altissima,(Mill.) Swingle
910,Ajugae reptantis,,Ajuga,11,genus,Accepted,Ajuga reptans,L.
744,Aletridis farinosae,,NA,NA,NA,NA,Aletris farinosa,L.
321,Alismatis plantaginis,,NA,NA,NA,NA,Alisma plantago-aquatica,L.
1091,Alneto incanae,,Alletotheca,7,genus,Unchecked,Alnus incana,(L.) Moench
1015,Alnus serratulae,,Alnus,11,genus,Accepted,Alnus serrulata,Willd.
904,Zygadeni glauci,,NA,NA,NA,NA,Anticlea elegans subsp. glauca,(Nutt.) A. Haines
429,Acrtostaphyli pumilae,,NA,NA,NA,NA,Arctostaphylos pumila,Nutt.
920,Artocarpi integrifoliae,,Artocarpus,15,genus,Accepted,Artocarpus integer,(Thunb.) Merr.
1067,Athyrii cyclosori,,Athyrium,11,genus,Accepted,Athyrium cyclosorum,(Rupr.) Maxon
1081,Bombacis malabarici,,NA,NA,NA,NA,Bombax ceiba,L.
364,Borraginis officinalis,,NA,NA,NA,NA,Borago officinalis,L.
626,Brabeii stellatifolii,,NA,NA,NA,NA,Brabejum stellatifolium,L.
376,Lithospermi arvensis,,Lithospermum,10,genus,Accepted,Buglossoides arvensis,(L.) I.M. Johnst.
212,Butomi umbellati,,Butomus,10,genus,Accepted,Butomus umbellatus,L.
930,Butus semperverum,,Buxus,13,genus,Accepted,Buxus sempervirens,L.
90,Buxi sempervirentis,,Buxus,15,genus,Accepted,Buxus sempervirens,L.
777,Convolobus sepium,,NA,NA,NA,NA,Calystegia sepium,(L.) R. Br.
778,Covolvuli sepium,,NA,NA,NA,NA,Calystegia sepium,(L.) R. Br.
734,Canabidis ruderalis,,NA,NA,NA,NA,Cannabis sativa,L.
1138,Cari carvi,,NA,NA,NA,NA,Carum carvi,L.
534,Celtidis aculeatae,,Celtidinae,9,subtribe,Unchecked,Celtis iguanaea,(Jacq.) Sarg.
632,Cerastii anomali,,Cerastium,8,genus,Accepted,Cerastium dubium,(Bastard) Guepin
326,Cerasi virginianae,,Cerasus,13,genus,Accepted,Cerasus virginiana,unchecked
440,Bliti capitati,,Blitum,10,genus,Unchecked,Chenopodium capitatum,(L.) Asch.
772,Cichorii intybi,,Cichorium,8,genus,Accepted,Cichorium intybus,L.
59,Cersii arvensis,,NA,NA,NA,NA,Cirsium arvense,(L.) Scop.
881,Cirsii arvensis,,Cirsium,10,genus,Accepted,Cirsium arvense,(L.) Scop.
537,Cladii marisci,,Cladium,8,genus,Accepted,Cladium mariscus,Pohl
1092,Colichici autumnalis,,NA,NA,NA,NA,Colchicum autumnale,L.
268,Coryli avellanae,,Corylus,11,genus,Accepted,Corylus avellana,L.
775,Crepidis foetidae,,Crepidium,10,genus,Accepted,Crepis foetida,L.
1088,Cuniliae marianae,,NA,NA,NA,NA,Cunila origanoides,(L.) Britton
984,Ivae xanthifoliae,,Iva,14,genus,Accepted,Cyclachaena xanthiifolia,(Nutt.) Fresen.
1090,Polypodii fragilis,,Polypodium,10,genus,Accepted,Cystopteris fragilis,(L.) Bernh.
291,Dauci carotae,,Daucus,9,genus,Accepted,Daucus carota,L.
566,Derridis ellipticae,,NA,NA,NA,NA,Derris elliptica,(Wall.) Benth.
615,Desmodi canescentis,,Desmodium,12,genus,Accepted,Desmodium canescens,(L.) canescens 
353,Eryngii campestris,,Eryngium,11,genus,Accepted,Eryngium campestre,L.
1183,Eythrenum americanum,,NA,NA,NA,NA,Erythronium americanum,Ker Gawl.
1085,Facelidis apiculatae,,NA,NA,NA,NA,Facelis retusa subsp. retusa,Beauverd
802,Fuirenae squamosae,,Fuirena,11,genus,Accepted,Fuirena squarrosa,Michx.
805,Galium veri,,NA,NA,NA,NA,Galium verum,L.
1105,Gernaium palustris,,NA,NA,NA,NA,Geranium palustre,L.
1106,Gernaium pratensis,,NA,NA,NA,NA,Geranium pratense,L.
1115,Gernaium pyrenaica,,NA,NA,NA,NA,Geranium pyrenaicum,Burm.f.
332,Gernaium rotundifoliae,,NA,NA,NA,NA,Geranium rotundifolium,L.
354,Glaucii lutei,,Glaucium,6,genus,Accepted,Glaucium flavum,Crantz
1080,Polypodii dryopteridis,,Polypodium,14,genus,Accepted,Gymnocarpium dryopteris,(L.) Newman
1109,Hedysari pabularis,,Hedysarum,10,genus,Accepted,Hedysarum boreale subsp. boreale,Nutt.
816,Heteropteridis angustifoliae,Heteropteris,Hemionitis,16,genus,Accepted,Heteropterys glabra,Hook. & Arn.
1045,Holci lanati,,Holcus,8,genus,Accepted,Holcus lanatus,L.
1147,Holostei umbellati,,Holosteum,9,genus,Accepted,Holosteum umbellatum,L.
23,Houstoniatum coerulea,,Houstonia coerulea var. elatior,16,variety,Unchecked,Houstonia coerulea ,L.
735,Humili lupuli,,Humiria,8,genus,Accepted,Humulus lupulus,L.
9,Hygrophylla scrphyllum,,Hygrophila,13,genus,Accepted,Hygrophila serpyllum,T.Anderson
761,Sedi telephii,,Reseda telephiifolia,9,species,Accepted,Hylotelephium telephium,(L.) H. Ohba
378,Hypercium hirsulum,,NA,NA,NA,NA,Hypericum hirsutum,L.
104,Prini coriaceae,,Prinos,10,genus,Accepted,Ilex coriacea,Pursh
727,Ilicem opacum,,NA,NA,NA,NA,Ilex opaca,Aiton
133,Acnisti arborescentis,,Acnistus,14,genus,Unchecked,Iochroma arborescens,
960,Lamii purpurei,,Lamium,9,genus,Accepted,Lamium purpureum,L.
93,Lathryi nigri,Lathriogyna,Amphithalea,7,genus,Accepted,Lathyrus niger,(L.) Bernh.
681,Leucothoeae acuminatis,,Leucothoe,13,genus,Accepted,Leucothoe acuminata,(Aiton) G.Don
929,Ligustri vulgaris,,Ligustrum,9,genus,Accepted,Ligustrum vulgare,L.
1117,Lilii candidi,,Lilium,9,genus,Accepted,Lilium candida,L.
523,Lini cathartici,,NA,NA,NA,NA,Linum catharticum,L.
413,Lewistonia chinensis,,NA,NA,NA,NA,Livistona chinensis,R.Br.
664,Lolii perennis,,Lolium,10,genus,Accepted,Lolium perenne,L.
826,Peucedanum simplicis,,Peucedanum,10,genus,Accepted,Lomatium simplex,J.F. Macbr
999,Magnoliae glauceae,,Magnolia,10,genus,Accepted,Magnolia elegans,(Blume) H. Keng
908,Melampyri pratensis,,Melampyrum,11,genus,Accepted,Melampyrum pratense,L.
358,Menispermi canadensis,,Menispermum,12,genus,Accepted,Menispermum canadense,L.
950,Mimuli ringentis,,Mimulus,10,genus,Accepted,Mimulus ringens,L.
722,Nothofagi pumilo,,Nothofagus,7,genus,Accepted,Nothofagus pumilio,(Poepp. & Endl.) Krasser
498,Origani vulgaris,,Origanum,9,genus,Accepted,Origanum vulgare,L.
703,Ornithogali narbonensis,,Ornithogalum,13,genus,Accepted,Ornithogalum narbonense,L.
672,Paspali dasyphylli,,Paspalum,12,genus,Accepted,Paspalum setaceum,Michx.
752,Penniseti setosi,,Pennisetum,8,genus,Accepted,Pennisetum polystachion,(L.) Schult.
173,Penstemonis cobaeae,,Penstemon,10,genus,Accepted,Penstemon cobaea,Nutt.
1001,Phasoli vulgaris,,NA,NA,NA,NA,Phaseolus vulgaris,L.
122,Phorodendri undulati,,Phoradendron,10,genus,Accepted,Phoradendron undulatum,(Pohl ex DC.) Eichler
742,Picnomi acarnae,,Picnomon,8,genus,Accepted,Picnomon acarna,(L.) Cass.
457,Pineto silvestris,,Pintoa,12,genus,Accepted,Pinus sylvestris,L.
236,Pithecolobii dulcis,,Pithecolobium,7,genus,Accepted,Pithecollobium dulce,(Roxb.) Benth.
408,Plantus occidentalis,,,4,species,Accepted,Platanus occidentalis,L.
114,Podocarpi coriacei,,Podocarpus,10,genus,Accepted,Podocarpus coriaceus,Rich.
480,Polygonati officinalis,,Polygonatum,13,genus,Accepted,Polygonatum odoratum,
493,Polytichii communis,,NA,NA,NA,NA,Polytrichum commune,Hedw.
525,Populus canescentis,,Populus,12,genus,Accepted,Populus x canescens,(Aiton) Sm.
1169,Cerasi lusitanicae,,Cerasus,11,genus,Accepted,Prunus lusitanica,L.
1056,Padi racemosae,,NA,NA,NA,NA,Prunus padus,L.
1011,Cerasi serotinae,,Cerasus,10,genus,Accepted,Prunus serotina,Ehrh.
1041,Prunei virginana,,Prunella,10,genus,Accepted,Prunus virginiana,L.
1103,Ranunculi ficariae,,Ranunculus,10,genus,Accepted,Ranunculus ficaria,L.
362,Ranunculi repentis,,Ranunculus,9,genus,Accepted,Ranunculus repens,L.
363,Ranuneuli repentis,,NA,NA,NA,NA,Ranunculus repens,L.
55,Raphani sativi,,Raphanus,7,genus,Accepted,Raphanus sativus,L.
994,Rapistri rugosi,,Rapistrum,7,genus,Accepted,Rapistrum rugosum,(L.) All.
181,Rhamnus catharicus,,Rhamnus,11,genus,Accepted,Rhamnus cathartica,L.
151,Rhamnus laceolatus,Ozothamnus lanceolatus,Ozothamnus glomeratus,5,species,Accepted,Rhamnus lanceolata,Pursh
226,Alectorolophi majoris,Alectorolophus,Rhinanthus,8,genus,Accepted,Rhinanthus major,L.
467,Ledi palustris,,NA,NA,NA,NA,Ledum palustre,L.
675,Sacchari spontanei,,Saccharum,11,genus,Accepted,Saccharum spontaneum,L.
98,Blechni volubilis,,Blechnum,10,genus,Accepted,Salpichlchlaena volubilis,(Kaulf.) J.Sm.
1049,Sambuco nigrae,,Sambucus,8,genus,Accepted,Sambucus nigra,L.
563,Sambux racemosa,,Sambucus,8,genus,Accepted,Sambucus racemosa,L.
1107,Sapii biglandulosi,,Sapium,13,genus,Accepted,Sapium glandulosum,(L.) Morong.
186,Sapii veri,,Sapium,6,genus,Accepted,Sapium stylare,Mull. Arg.
336,Sedi acris,,Sedum,7,genus,Accepted,Sedum acre,L.
710,Sicyi angulati,,,10,genus,Accepted,Sicyos angulatus,L.
342,Sidaliae candida,,NA,NA,NA,NA,Sidalcea candida,A.Gray
637,Silphii integrifolii,,Silphium,14,genus,Accepted,Silphium integrifolium,Michx.
230,Liabi discoloris,,Liabum,12,genus,Accepted,Sinclairia discolor,Hook & Arn.
887,Smirni olusatrum,,Smyrnium,9,genus,Accepted,Smyrnium olusatrum,L.
456,Sorgho vulgari,,Sorghum,8,genus,Accepted,Sorghum bicolor,(L.) Moench
194,Solidaginis altissima,,Solidagininae,10,subtribe,Unchecked,Solidago altissima,L.
221,Solliidago canadensis,,Solidago canadensis,2,species,Accepted,Solidago canadensis,L.
633,Solidaginis rigidae,,Solidagininae,7,subtribe,Unchecked,Solidago rigida,L.
901,Solidaginis virgaureae,,Solidagininae,10,subtribe,Unchecked,Solidago virgaurea,L.
391,Sorbi aucupariae,,Sorbus,11,genus,Accepted,Sorbus aucuparia,L.
811,Sorghi halepensis,,Sorghum,12,genus,Accepted,Sorghum halapense,Pers.
278,Stenolobii stantis,Stenolobium,Tecoma,9,genus,Accepted,Tecoma stans,(L.) Kunth
387,Theisum humilis,,NA,NA,NA,NA,Thesium humile,Vahl
496,Theisum montani,,NA,NA,NA,NA,Thesium bavarum,Schrank
883,Theisum pratensis,,NA,NA,NA,NA,Thesium pratense,
318,Tiliae pubescentis,,Tilia,13,genus,Accepted,Tilia pubescens,Aiton
388,Tordylii maximi,,Tordylium,7,genus,Accepted,Tordylium maximum,L.
295,Tragopogonis majoris,,Tragopogon,10,genus,Accepted,Tragopogon major,Jacq.
840,Tripsaci dactyloidis,,Tripsacum,13,genus,Accepted,Tripsacum dactyloides,L.
885,Trollii europaei,,Trollius,9,genus,Accepted,Trollius europaeus,L.
1043,Vaccini uliginosi,,Vaccinium,9,genus,Accepted,Vaccinium uliginosum,L.
115,Vaccinium vitis,,Vaccinium viride,3,species,Accepted,Vaccinium vitis-idea,L.
402,Veronica praecocis,Veronica praecox subsp. kavusica,Veronica glauca  subsp. kavusica,16,subspecies,Accepted,Veronica praecox,All.
260,Cynanchi vincetoxici,,Cynanchum,13,genus,Accepted,Vincetoxicum hirundinaria,Medik.
365,Acer rubrae,,Acer rubrum,2,species,Accepted,,
916,Adenanthera peregrina,,Anadenanthera peregrina,2,species,Accepted,,
586,Adonidis vernalis,,Adonis vernalis,2,species,Accepted,,
425,Aedes craggi,,Aedesia,6,genus,Accepted,,
682,Aegopodii podagraria,,Aegopodium podagraria,2,species,Accepted,,
683,Aegopodii podagrariae,,Aegopodium podagraria,3,species,Accepted,,
66,Agastache scrophulariaefolia,,Agastache scrophulariifolia,2,species,Accepted,,
894,Agoseridis greenei,,Agoseris greenei,2,species,Unchecked,,
812,Agoseris scorzoneraefolia,Agoseris scorzonerifolia,Agoseris glauca,2,species,Accepted,,
739,Agropyra repens,Agropyron repens,Elymus repens,2,species,Accepted,,
569,Alchomea cordifolia,,Alchornea cordifolia,2,species,Accepted,,
639,Aliariae offcinalis,Cacalia alliariae,Adenostyles alliariae,13,species,Accepted,,
679,Allophyllus edulis,,Allophylus edulis,1,species,Accepted,,
640,Allysum saxatile,Alyssum saxatile,Aurinia saxatilis,2,species,Accepted,,
531,Alyxia olivaeformis,Alyxia oliviformis,Alyxia stellata,2,species,Accepted,,
850,Anemolla thalictroides,,Anemonella thalictroides,2,species,Accepted,,
1113,Anibrosia psilostachya,,Ambrosia psilostachya,2,species,Accepted,,
368,Ansimckia intermedia,Amsinckia intermedia,Amsinckia menziesii  var. intermedia,2,variety,Accepted,,
307,Anthemidis tinctoriae,Anthemis tinctoria,Cota tinctoria,3,species,Accepted,,
595,Antherici ramosi,Anthericum ramosissimum,Echeandia ramosissima,8,species,Accepted,,
99,Antiaridis toxicaria,,Antiaris toxicaria,2,species,Accepted,,
1047,Aperae spicae,,Apera spica-venti,6,species,Accepted,,
981,Arbuti unedo,,Arbutus unedo,2,species,Accepted,,
829,Arrhenatherum elatior,,Arrhenatherum elatius,2,species,Accepted,,
603,Articum lappa,Arctium lappa,Arctium lappa,2,species,Accepted,,
88,Asceplias cornuta,Asclepias cornuta,Gomphocarpus fruticosus  subsp. fruticosus,2,subspecies,Accepted,,
180,Asclepiades jamesii,Asclepias jamesii,Asclepias latifolia,2,species,Accepted,,
990,Asclepiadis curassavica,,Asclepias curassavica,2,species,Accepted,,
691,Asclepiadis tuberosa,,Asclepias tuberosa,2,species,Accepted,,
579,Ascophyllum nodosum,Anisophyllum nodosum,Euphorbia clusiifolia,3,species,Accepted,,
754,Asparagi officinalis,,Asparagus officinalis,2,species,Accepted,,
505,Asphondylia mayeri,Selinum sphondylium,Heracleum sphondylium,15,species,Accepted,,
718,Asteris fremontii,Aster fremontii,Symphyotrichum spathulatum,2,species,Accepted,,
912,Bartschia alpina,,Bartsia alpina,2,species,Accepted,,
272,Berbens aquifolium,,Berberis aquifolium,2,species,Accepted,,
18,Berberidis vulgaris,,Berberis vulgaris,2,species,Accepted,,
273,Berberis auqifolium,,Berberis aquifolium,2,species,Accepted,,
203,Biccicolla cucullaria,Bicuculla cucullaria,Dicentra cucullaria,3,species,Accepted,,
670,Bontelona oligostachya,Bouteloua oligostachya,Bouteloua gracilis,2,species,Accepted,,
899,Boutela curtipendula,,Bouteloua curtipendula,2,species,Accepted,,
517,Breyma rhamnoides,Breynia rhamnoides,Breynia vitis-idaea,2,species,Accepted,,
238,Buddeleia asiatica,,Buddleja asiatica,2,species,Accepted,,
540,Buddleyae auriculatae,,Buddleja auriculata,3,species,Accepted,,
762,Bupleuri falci,,Bupleurum,7,genus,Accepted,,
153,Cajamas indicus,Cajanus indicus,Cajanus cajan,2,species,Accepted,,
1021,Calbandra bijuga,,Calliandra bijuga,2,species,Accepted,,
859,Callianthemum rutaefolium,Callianthemum rutifolium,Callianthemum angustifolium,2,species,Accepted,,
698,Calthus palustris,,Caltha palustris,2,species,Accepted,,
768,Caltthae palustris,,Caltha palustris,2,species,Accepted,,
132,Camelia theae,Camellia thea,Camellia sinensis,2,species,Accepted,,
482,Cardui scopulorum,Carduus scopulorum,Cirsium eatonii  var. eriocephalum,2,variety,Accepted,,
309,Carex acutae,,Carex acuta,1,species,Accepted,,
73,Carex brunnescentis,,Carex brunnescens,2,species,Accepted,,
844,Carex caespitosae,,Carex caespitosa,1,species,Unchecked,,
71,Carex luzulaefolia,,Carex luzulifolia,2,species,Accepted,,
794,Carex teneraeformis,Carex teneriformis,Carex subfusca,2,species,Accepted,,
319,Caryea albae,,Carya alba,2,species,Accepted,,
1181,Cascarillae venalis,Cascarilla,Ladenbergia,9,genus,Accepted,,
909,Celastria scandens,,Celastrus scandens,2,species,Accepted,,
1069,Cenoclea sensibilis,,Onoclea sensibilis,2,species,Accepted,,
863,Chamaesaracha conoides,Chamaesaracha conoides,Chamaesaracha coniodes,NA,species,Accepted,,
774,Circeae alpina,,Circaea alpina,2,species,Accepted,,
407,Citrulli vulgaris,Citrullus vulgaris,Citrullus lanatus,2,species,Accepted,,
68,Clea europaea,,Olea europaea,1,species,Accepted,,
339,Clerodendron intermedium,,Clerodendrum intermedium,2,species,Accepted,,
340,Clerodendron intermedium,Clerodendrum intermedium,Clerodendrum dusenii,2,species,Accepted,,
341,Clerodendron quadriloculare,,Clerodendrum quadriloculare,2,species,Accepted,,
1083,Coccobis uvifera,Coccolobis uvifera,Coccoloba uvifera,2,species,Accepted,,
1016,Comari palustris,Lomaria palustris,Blechnum lineatum,2,species,Accepted,,
617,Cordeus personata,,Carduus personata,2,species,Accepted,,
676,Corylea rostrata,Corylus rostrata,Corylus cornuta,2,species,Accepted,,
417,Crataegen crythropoda,,Crataegus erythropoda,3,species,Accepted,,
721,Crispa rubra,Crusea rubra,Crusea hispida  var. hispida,2,variety,Accepted,,
788,Croci pallasii,,Crocus pallasii,2,species,Accepted,,
533,Crotonis currani,,Croton curranii,3,species,Accepted,,
536,Crotonis gossypiifolii,,Croton gossypiifolius,4,species,Accepted,,
709,Dactylidis glomeratae,,Dactylis glomerata,3,species,Accepted,,
1153,Dactyloctenium aegypticum,Dactyloctenium aegyptiacum,Dactyloctenium aegyptium,1,species,Accepted,,
616,Desmodium canescentis,,Desmodium canescens,2,species,Accepted,,
793,Dianthi carthusianorum,,Dianthus carthusianorum,2,species,Accepted,,
1099,Dolicholus texanus,Dolicholus texanus,Rhynchosia senna  var. texana,NA,variety,Accepted,,
1110,Elodea virginiana,,Elodea virginica,2,species,Unchecked,,
19,Enothera biennis,,Oenothera biennis,2,species,Accepted,,
328,Epilobii montani,,Epilobium montaniforme,7,species,Accepted,,
791,Erianthi hostii,Erianthus hostii,Tripidium strictum,2,species,Accepted,,
757,Erigeron annus,Erigeron annuus,Bellis annua,1,species,Accepted,,
953,Erigeronis canadensis,Erigeron canadensis,Erigeron bonariensis,2,species,Accepted,,
